TF1,TF2,delta_oe_median,delta_oe_ct,delta_oe_pval,delta_oe_pval_corrected
NR2F1,RARA,0.04685310000000001,509,2.6905045429335617e-84,6.887691629909918e-81
NR2F1,RBPJ,0.043082659999999995,99,4.993540617890451e-15,1.2783463981799554e-11
NR2F1,REST,0.020917333499999993,50,0.0006562231191504983,1.0
NR2F1,RFX1,0.025524290000000005,57,7.219946621071746e-06,0.01848306334994367
NR2F1,RFX3,0.027611879999999978,73,7.623381899174182e-08,0.00019515857661885907
NR2F1,RXRA,0.044443996000000006,561,1.5180809564215747e-89,3.8862872484392314e-86
NR2F1,RXRB,0.037350369999999966,493,5.377977872351456e-66,1.3767623353219729e-62
NR2F1,SKI,0.054732137,184,6.119483219258246e-34,1.566587704130111e-30
NR2F1,SMAD4,0.045330303,399,1.0563280641284458e-65,2.7041998441688213e-62
NR2F1,SOX13,0.079127475,66,1.229242003394325e-14,3.1468595286894715e-11
NR2F1,SOX5,0.07038520000000001,56,1.5192836754072547e-10,3.889366209042572e-07
NR2F1,TFAP4,0.05467479000000001,246,4.283473813238315e-47,1.0965692961890087e-43
NR2F1,TFDP1,0.040233218,318,7.39841793762705e-43,1.8939949920325248e-39
NR2F1,TFE3,0.046170318,215,6.951893285802452e-33,1.7796846811654276e-29
NR2F1,THAP11,0.037508280000000005,68,6.578168509099068e-10,1.6840111383293614e-06
NR2F1,THRB,0.04501352,107,3.2960157647688307e-21,8.437800357808206e-18
NR2F1,USF1,0.04721446250000001,242,9.912088861874211e-39,2.537494748639798e-35
NR2F1,USF2,0.040512139999999974,77,7.897199331961001e-13,2.021683028982016e-09
NR2F1,YY1,0.033920905,113,2.07905697715032e-14,5.322385861504819e-11
NR2F1,ZBTB25,0.03298025,87,3.21438427963253e-12,8.228823755859277e-09
NR2F1,ZSCAN9,0.026718805499999998,132,4.207537679009846e-14,1.0771296458265205e-10
NR2F2,BHLHE40,0.027516666000000002,89,7.075483288073623e-10,1.8113237217468475e-06
NR2F2,CEBPG,0.046763554,55,1.2791212662230078e-13,3.2745504415308997e-10
NR2F2,CREM,0.011852660000000001,119,3.1536838428698088e-09,8.07343063774671e-06
NR2F2,CTCF,0.028953087500000002,158,9.556395704417811e-21,2.4464373003309595e-17
NR2F2,ELF1,0.024758366000000004,175,2.3377946766198696e-14,5.984754372146866e-11
NR2F2,ERF,0.011081709999999998,53,3.6292209721927735e-05,0.092908056888135
NR2F2,ETS1,0.019473452000000002,87,3.1994111233159485e-08,8.190492475688827e-05
NR2F2,ETV4,0.018608922,159,1.2505045364216149e-11,3.2012916132393344e-08
NR2F2,ETV5,0.013572297000000004,247,8.854072596958981e-15,2.266642584821499e-11
NR2F2,GABPA,-0.004168203999999999,178,0.8595487357431446,1.0
NR2F2,HBP1,0.027003959499999997,58,3.1432481975297907e-08,8.046715385676264e-05
NR2F2,HNF1A,0.0330612275,86,3.7279355535557194e-10,9.54351501710264e-07
NR2F2,HNF4A,0.021048668000000003,491,6.532723746382461e-39,1.67237727907391e-35
NR2F2,HNF4G,0.034634237000000005,426,1.1628746443589951e-62,2.9769590895590276e-59
NR2F2,KLF16,0.005464244000000002,51,0.003055976216739982,1.0
NR2F2,MAX,0.015800733999999997,171,1.599102947744988e-09,4.093703546227169e-06
NR2F2,MLX,0.03215366000000003,113,1.15904783550158e-16,2.967162458884045e-13
NR2F2,NFIA,0.023190735000000004,197,2.5730127641219602e-17,6.586912676152219e-14
NR2F2,NFIL3,0.045783807999999995,51,5.2791446267246425e-09,1.3514610244415086e-05
